Datation GPS,Pump-Cold W,Dewar-Cover,Tmp Air Ext ,Temp Air Int ,Miroir Siderost,Med Bench, Detect Mount, Upp Tk ,Low Tk, Frame EL, Frame CE, Rot Angle, Longi, Latitude, Altitude, DV Az, DV EL, DV Psi, DV Asc, DV Dec, DV Theta, Estim DV (0=NAC 1=DTU 2=GUI)
18/08/23 01:55:57,23.3,23.4,23.3,23,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.547,41.3602,-117.362,185.371,59.9155,151.799,0
18/08/23 01:56:02,23.3,23.4,23.3,23,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.546,41.3602,-117.362,185.395,59.9151,151.799,0
18/08/23 01:56:08,23.4,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.546,41.3602,-117.362,185.415,59.9147,151.8,0
18/08/23 01:56:13,23.4,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.545,41.3602,-117.362,185.435,59.9143,151.8,0
18/08/23 01:56:18,23.4,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.545,41.3602,-117.362,185.459,59.9139,151.8,0
18/08/23 01:56:23,23.4,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.544,41.3602,-117.362,185.479,59.9135,151.801,0
18/08/23 01:56:28,23.3,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.544,41.3602,-117.362,185.499,59.9132,151.801,0
18/08/23 01:56:33,23.3,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.543,41.3602,-117.362,185.523,59.9128,151.801,0
18/08/23 01:56:38,23.3,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.543,41.3602,-117.362,185.543,59.9126,151.802,0
18/08/23 01:56:43,23.3,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.543,41.3602,-117.362,185.563,59.9124,151.802,0
18/08/23 01:56:48,23.3,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.542,41.3602,-117.362,185.583,59.912,151.802,0
18/08/23 01:56:53,23.3,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.541,41.3602,-117.362,185.607,59.9116,151.802,0
18/08/23 01:56:58,23.3,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.518,41.3693,-117.347,185.645,59.8939,151.817,0
18/08/23 01:57:03,23.3,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.494,41.3359,-117.445,185.598,59.8764,151.793,0
18/08/23 01:57:08,23.3,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.476,41.3088,-117.489,185.567,59.8629,151.809,0
18/08/23 01:57:14,23.3,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.8,2.5,-122.994,-104.222,34.4901,1276.7,322.488,41.3269,-117.46,185.624,59.8717,151.799,0
18/08/23 01:57:19,23.3,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.7991,2.5,-122.994,-104.222,34.4901,1276.7,322.48,41.3196,-117.474,185.629,59.8657,151.802,0
18/08/23 01:57:24,23.3,23.4,23.3,23.1,23.9,1242,1242.2,1242.6,1242.7,19.7944,2.5,-122.994,-104.222,34.4901,1276.7,322.472,41.3247,-117.487,185.659,59.8603,151.786,0
18/08/23 01:57:29,23.3,23.4,23.3,23.1,24,1242,1242.2,1242.6,1242.7,19.7943,2.5,-122.994,-104.222,34.4901,1276.7,322.479,41.3292,-117.473,185.692,59.8653,151.787,0
18/08/23 01:57:34,23.3,23.4,23.3,23.1,24,1242,1242.2,1242.6,1242.7,19.7943,2.5,-122.994,-104.222,34.4901,1276.7,322.478,41.3391,-117.472,185.732,59.8642,151.772,0
18/08/23 01:57:39,23.3,23.4,23.3,23.1,24,1242,1242.2,1242.6,1242.7,19.7943,2.5,-122.994,-104.222,34.4901,1276.7,322.517,41.3715,-117.361,185.818,59.8933,151.801,0
18/08/23 01:57:44,23.3,23.4,23.3,23.1,24,1242,1242.2,1242.6,1242.7,19.7943,2.5,-122.994,-104.222,34.4901,1276.7,322.514,41.3725,-117.374,185.843,59.8908,151.788,0
18/08/23 01:57:49,23.3,23.4,23.3,23.2,24,1242,1242.2,1242.6,1242.7,19.7943,2.5,-122.994,-104.222,34.4901,1276.7,322.512,41.3725,-117.374,185.863,59.8894,151.789,0
18/08/23 01:57:54,23.3,23.4,23.3,23.2,24,1242,1242.2,1242.6,1242.7,19.7943,2.5,-122.994,-104.222,34.4901,1276.7,322.512,41.3725,-117.374,185.884,59.8892,151.789,0
18/08/23 01:57:59,23.3,23.5,23.2,23.2,24,1242,1242.2,1242.6,1242.7,19.7943,2.5,-122.994,-104.222,34.4901,1276.7,322.512,41.3725,-117.374,185.904,59.8892,151.789,0
18/08/23 01:58:04,23.3,23.5,23.2,23.2,24,1242,1242.2,1242.6,1242.7,19.7943,2.5,-122.994,-104.222,34.4901,1276.7,322.512,41.3725,-117.374,185.928,59.8889,151.79,0
18/08/23 01:58:09,23.3,23.4,23.3,23.1,24,1242,1242.2,1242.6,1242.7,19.7943,2.5,-122.994,-104.222,34.4901,1276.7,322.471,41.3282,-117.46,185.859,59.8591,151.808,0
18/08/23 01:58:14,23.3,23.4,23.3,23.1,24,1242,1242.2,1242.6,1242.7,19.7943,2.5,-122.994,-104.222,34.4901,1276.7,322.469,41.3482,-117.457,185.918,59.8571,151.777,0
18/08/23 01:58:19,23.3,23.4,23.3,23.2,24,1242,1242.2,1242.6,1242.7,19.7943,2.5,-122.994,-104.222,34.4901,1276.7,322.468,41.3482,-117.457,185.942,59.8567,151.778,0
18/08/23 01:58:25,23.3,23.4,23.3,23.2,24,1242,1242.2,1242.6,1242.7,19.7943,2.5,-122.994,-104.222,34.4901,1276.7,322.469,41.3482,-117.457,185.963,59.8573,151.777,0
