CompteurSec,Datation GPS,Pump-Cold W,Dewar-Cover,Tmp Air Ext ,Temp Air Int ,Miroir Siderost,Med Bench, Detect Mount, Upp Tk ,Low Tk, Frame EL, Frame CE, Rot Angle, Longi, Latitude, Altitude, DV Az, DV EL, DV Psi, DV Asc, DV Dec, DV Theta, Estim DV (0=NAC 1=DTU 2=GUI), ConsAz, ConsEl, ConsPsi, ConsAsc, ConsDec, ConsTheta
5,25/09/23 08:27:34,1,15.2,23,23.5,23.2,33.7,35.1,21.5,20.3,18.4808,1.66893E-05,-0.00399695,-104.222,34.4901,1285.7,46.6225,43.6883,0.106675,87.8489,53.1755,88.3417,0,38.34,43,0,88.9664,59.2037,92.9955
10,25/09/23 08:27:39,1,15.2,23,23.5,23.2,33.7,35,21.5,20.3,18.4808,1.66893E-05,-0.00399695,-104.222,34.4901,1285.7,46.6222,43.6883,0.106675,87.869,53.1756,88.3419,0,38.34,43,0,88.9865,59.2037,92.9955
15,25/09/23 08:27:44,1,15.2,23.3,23.4,23.2,33.7,35,21.5,20.3,18.4808,1.66893E-05,-0.00399695,-104.222,34.4901,1285.7,46.6222,43.6883,0.106675,87.8931,53.1757,88.3419,0,38.34,43,0,89.0106,59.2037,92.9955
20,25/09/23 08:27:49,1,15.2,23.3,23.4,23.2,33.7,35,21.5,20.3,18.4808,1.66893E-05,-0.00399695,-104.222,34.4901,1285.7,46.6223,43.6883,0.106675,87.9131,53.1756,88.3418,0,38.34,43,0,89.0306,59.2037,92.9955
25,25/09/23 08:27:54,1.1,15.2,23.2,23.5,23.1,33.7,35,21.5,20.3,18.4808,1.66893E-05,-0.00399695,-104.222,34.4901,1285.7,46.6222,43.6883,0.106675,87.9332,53.1757,88.3419,0,38.34,43,0,89.0507,59.2037,92.9955
30,25/09/23 08:27:59,1.1,15.2,23.2,23.5,23.1,33.7,35,21.6,20.2,18.4808,1.66893E-05,-0.00399695,-104.222,34.4901,1285.7,46.6222,43.6883,0.106675,87.9573,53.1757,88.3419,0,38.34,43,0,89.0747,59.2037,92.9955
35,25/09/23 08:28:04,1,15.3,23.2,23.2,23.2,33.7,35,21.6,20.2,18.4808,1.66893E-05,-0.00399695,-104.222,34.4901,1285.7,46.6222,43.6883,0.106675,87.9773,53.1757,88.3419,0,38.34,43,0,89.0948,59.2037,92.9955
40,25/09/23 08:28:09,1,15.3,23.2,23.2,23.2,33.7,35,21.5,20.2,18.4808,1.66893E-05,-0.00399695,-104.222,34.4901,1285.7,46.6222,43.6883,0.106675,87.9974,53.1756,88.3419,0,38.34,43,0,89.1149,59.2037,92.9955
45,25/09/23 08:28:14,1,15.3,23.2,23.4,23.2,33.7,35,21.5,20.2,18.4808,1.66893E-05,-0.00399695,-104.222,34.4901,1285.7,46.6225,43.6883,0.106675,88.0214,53.1755,88.3417,0,38.34,43,0,89.1389,59.2037,92.9955
50,25/09/23 08:28:19,1,15.3,23.2,23.4,23.2,33.7,35,21.6,20.3,18.4808,1.66893E-05,-0.00399695,-104.222,34.4901,1285.7,46.6226,43.6883,0.106675,88.0415,53.1754,88.3416,0,38.34,43,0,89.159,59.2037,92.9955
