CompteurSec,Datation GPS,Pump-Cold W,Dewar-Cover,Tmp Air Ext ,Temp Air Int ,Miroir Siderost,Med Bench, Detect Mount, Upp Tk ,Low Tk, Frame EL, Frame CE, Rot Angle, Longi, Latitude, Altitude, DV Az, DV EL, DV Psi, DV Asc, DV Dec, DV Theta, Estim DV (0=NAC 1=DTU 2=GUI), ConsAz, ConsEl, ConsPsi, ConsAsc, ConsDec, ConsTheta
5,06/09/23 00:10:04,1242.6,1243,25.9,24.2,24.1,33.5,35.4,24.6,24.2,-9.73747,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.182,80.0949,179.601,233.763,28.6145,128.337,0,31.5,45.6,0,298.651,63.6733,103.817
10,06/09/23 00:10:09,1242.6,1243,25.9,24.2,24.1,33.5,35.4,24.7,24.2,-9.73747,-0.0208418,0.0019967,-104.222,34.4901,1275.3,236.182,80.0949,179.601,233.787,28.6145,128.337,0,31.5,45.6,0,298.675,63.6733,103.817
15,06/09/23 00:10:14,1242.6,1243,25.9,24.2,24.1,33.5,35.4,24.7,24.2,-9.73745,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.181,80.0949,179.601,233.807,28.6144,128.337,0,31.5,45.6,0,298.695,63.6733,103.817
20,06/09/23 00:10:19,1242.6,1243,25.9,24.2,24.1,33.5,35.4,24.6,24.3,-9.73747,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.181,80.0949,179.601,233.827,28.6144,128.337,0,31.5,45.6,0,298.715,63.6733,103.817
25,06/09/23 00:10:24,1242.6,1243,25.9,24.2,24.1,33.5,35.4,24.6,24.3,-9.73747,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.181,80.0949,179.601,233.851,28.6144,128.337,0,31.5,45.6,0,298.739,63.6733,103.817
30,06/09/23 00:10:29,1242.6,1243,25.9,24.2,24.1,33.5,35.4,24.6,24.2,-9.73747,-0.0208418,0.0019967,-104.222,34.4901,1275.3,236.181,80.0949,179.601,233.871,28.6144,128.337,0,31.5,45.6,0,298.759,63.6733,103.817
35,06/09/23 00:10:34,1242.6,1243,25.9,24.2,24.1,33.5,35.4,24.6,24.2,-9.73747,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.181,80.0949,179.601,233.891,28.6144,128.337,0,31.5,45.6,0,298.779,63.6733,103.817
40,06/09/23 00:10:39,1242.6,1243,25.9,24.2,24.1,33.6,35.4,24.6,24.2,-9.73747,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.181,80.0949,179.601,233.911,28.6144,128.337,0,31.5,45.6,0,298.799,63.6733,103.817
45,06/09/23 00:10:44,1242.6,1243,25.9,24.2,24.1,33.6,35.4,24.6,24.2,-9.73745,-0.0208418,0.0019967,-104.222,34.4901,1275.3,236.181,80.0949,179.601,233.935,28.6144,128.337,0,31.5,45.6,0,298.823,63.6733,103.817
50,06/09/23 00:10:49,1242.6,1243,25.9,24.2,24.2,33.6,35.4,24.6,24.2,-9.73747,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.181,80.0949,179.601,233.955,28.6143,128.338,0,31.5,45.6,0,298.843,63.6733,103.817
55,06/09/23 00:10:54,1242.6,1243,25.9,24.2,24.2,33.6,35.4,24.6,24.3,-9.73747,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.181,80.0949,179.601,233.975,28.6144,128.338,0,31.5,45.6,0,298.863,63.6733,103.817
60,06/09/23 00:11:00,1242.6,1243,25.9,24.2,24.1,33.6,35.4,24.6,24.3,-9.73747,-0.0208418,0.0019967,-104.222,34.4901,1275.3,236.181,80.0949,179.601,233.999,28.6143,128.338,0,31.5,45.6,0,298.887,63.6733,103.817
65,06/09/23 00:11:05,1242.6,1243,25.9,24.2,24.1,33.6,35.4,24.6,24.2,-9.73747,-0.0208418,0.0019967,-104.222,34.4901,1275.3,236.18,80.0949,179.601,234.02,28.6143,128.338,0,31.5,45.6,0,298.907,63.6733,103.817
70,06/09/23 00:11:10,1242.6,1243,25.9,24.2,24.1,33.5,35.4,24.6,24.2,-9.73747,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.18,80.0949,179.601,234.04,28.6143,128.338,0,31.5,45.6,0,298.928,63.6733,103.817
75,06/09/23 00:11:15,1242.6,1243,25.9,24.2,24.1,33.5,35.3,24.6,24.2,-9.73747,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.18,80.0949,179.601,234.064,28.6143,128.338,0,31.5,45.6,0,298.952,63.6733,103.817
80,06/09/23 00:11:20,1242.6,1243,25.9,24.2,24.1,33.6,35.3,24.6,24.2,-9.73747,-0.0208418,0.0019967,-104.222,34.4901,1275.3,236.18,80.0949,179.601,234.084,28.6143,128.338,0,31.5,45.6,0,298.972,63.6733,103.817
85,06/09/23 00:11:25,1242.6,1243,25.9,24.2,24.1,33.6,35.4,24.6,24.3,-9.73747,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.18,80.0949,179.601,234.104,28.6143,128.338,0,31.5,45.6,0,298.992,63.6733,103.817
90,06/09/23 00:11:30,1242.6,1243,25.9,24.2,24.1,33.6,35.4,24.6,24.3,-9.73745,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.18,80.0949,179.601,234.124,28.6143,128.338,0,31.5,45.6,0,299.012,63.6733,103.817
95,06/09/23 00:11:35,1242.6,1243,25.9,24.2,24.1,33.6,35.4,24.7,24.2,-9.73745,-0.0208418,0.0019967,-104.222,34.4901,1275.3,236.18,80.0949,179.601,234.148,28.6143,128.338,0,31.5,45.6,0,299.036,63.6733,103.817
100,06/09/23 00:11:40,1242.6,1243,25.9,24.2,24.1,33.5,35.4,24.7,24.2,-9.73745,-0.0208418,0.0019967,-104.222,34.4901,1275.3,236.18,80.0949,179.601,234.168,28.6142,128.338,0,31.5,45.6,0,299.056,63.6733,103.817
105,06/09/23 00:11:45,1242.6,1243,25.9,24.2,24.1,33.5,35.4,24.6,24.2,-9.73747,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.18,80.0949,179.601,234.188,28.6143,128.338,0,31.5,45.6,0,299.076,63.6733,103.817
110,06/09/23 00:11:50,1242.6,1243,25.9,24.2,24.2,33.6,35.4,24.6,24.2,-9.73747,-0.0208387,0.0019967,-104.222,34.4901,1275.3,236.18,80.0949,179.601,234.212,28.6143,128.338,0,31.5,45.6,0,299.1,63.6733,103.817
