Index,Filename,Directory,IMNO_1,ModificationTime,FileSize_Mo,CreationTime,CreationTime_ISO8601,dir_path,SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,BZERO,BSCALE,ADD_COMM,IMG_SIZE,SOFT_VER,DATE,EXPTIME,EMGAIN,GAIN1,VSS,IMNO,IMBURST,SHUTTER,ROS,CDSOFFSET,TEMPDATE,TEMPTIME,TEMPA,TEMPB,OBSTYPE,median_physical,mean_physical,Col2ColDiff_pre_scan,Line2lineDiff_pre_scan,SaturatedPixels,median_pre_scan,mean_pre_scan,std_pre_scan,stdXY,stdXY_Top,stdXY_Bottom,stdXY_pre_scan,BottomImage,TopImage,BottomImage_median,TopImage_median,flat,percentile_04,percentile_998,hist_bias,hist_ron,hist_gain,hist_flux,e_per_hour,FRAC5SIG,Path
0,image000046.fits,EXPTIME_100.0,000046,230627.2025,13.31,230627.2025,2023-06-27T20:25:38,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_100.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.2.1,2023-05-28T00:38:37,100.0,8243,0.0,0,46,5,0,2,500,,""",",$.7,X!.7,OBJECT,7820.905787078271,7851.344694951665,0.003383276945896796,0.32000000000061846,0.0031686358754027927,7819.0,7822.8599722087965,101.12437462862336,442.850889419344,251.4081598880566,338.16097079192554,101.12437462862336,18.425712114632915,29.88438775510167,-6.0,3.0,5.0989993605181165e-06,7743.0,10884.0,7821.020000000046,17.527434779083144,1452.8070054807533,0.01785318746254706,0.6427147486516941,0.027540472253294007,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_100.0/image000046.fits
1,image000047.fits,EXPTIME_100.0,000047,230627.2025,13.31,230627.2025,2023-06-27T20:25:38,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_100.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.2.1,2023-05-28T00:40:17,100.0,8243,0.0,0,47,5,0,2,500,,""",",$.7,X!.7,OBJECT,7826.980280034644,7853.929236842106,0.23682938617821492,0.04874999999992724,0.0024704618689581096,7826.0,7829.448597148381,108.36363943214668,406.5420635871798,256.47155145802435,445.8806634817404,108.36363943214668,18.91440512375175,26.876377551020596,-7.0,2.0,0.0,7742.0,10792.002000000095,7828.060000000047,17.63564784261606,1504.9356327805792,0.01442588783614254,0.5193319621011314,0.024279590817726668,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_100.0/image000047.fits
2,image000048.fits,EXPTIME_100.0,000048,230627.2025,13.31,230627.2025,2023-06-27T20:25:38,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_100.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.2.1,2023-05-28T00:41:57,100.0,8243,0.0,0,48,5,0,2,500,,""",",$.7,X!.7,OBJECT,7825.264512338587,7850.000655746509,0.45819236346142134,0.2787500000004002,0.0017722878625134263,7824.0,7827.789232721121,106.4430498192556,374.94307612367277,257.97435105459266,317.2581590101046,106.4430498192556,15.364142422926307,24.07994897959179,-6.0,2.0,7.113270493497338e-06,7731.0,10623.002000000095,7826.060000000041,17.550339386854155,1409.1725311928813,0.013964181649327766,0.5027105393757996,0.02311190997212989,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_100.0/image000048.fits
3,image000056.fits,EXPTIME_150.0,000056,230627.2025,13.31,230627.2025,2023-06-27T20:25:38,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_150.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.2.1,2023-05-28T00:48:42,150.0,8243,0.0,0,56,5,0,2,500,,""",",$.7,X!.7,OBJECT,7826.172063064732,7863.87121858217,-0.14741420976315567,0.06499999999959982,0.0047798066595059075,7824.0,7828.079768003867,107.43742739278258,534.9684254916605,292.77074637170796,527.9962416934877,107.43742739278258,26.94915544941341,35.99576530612285,-6.0,3.0,6.9883346737378576e-06,7732.0,11215.002000000095,7828.340000000047,17.715427238419647,1520.566951618323,0.02206340614735617,0.529521747536548,0.03215323883516681,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_150.0/image000056.fits
4,image000057.fits,EXPTIME_150.0,000057,230627.2025,13.31,230627.2025,2023-06-27T20:25:38,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_150.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.2.1,2023-05-28T00:51:12,150.0,8243,0.0,0,57,5,0,2,500,,""",",$.7,X!.7,OBJECT,7817.790014374717,7854.261770139635,-0.17037216046446702,-0.15124999999898137,0.0037056928034371645,7816.0,7819.907274045432,101.39172376675151,493.07989230445804,275.3096523722657,602.7051339216874,101.39172376675151,30.072129830655285,34.30673469387784,-6.0,2.0,4.1130635059393525e-06,7739.0,11008.0,7820.300000000045,17.58803027256615,1408.2896472388597,0.02279545445030354,0.547090906807285,0.03302853704354478,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_150.0/image000057.fits
5,image000058.fits,EXPTIME_150.0,000058,230627.2025,13.31,230627.2025,2023-06-27T20:25:38,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_150.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.2.1,2023-05-28T00:53:42,150.0,8243,0.0,0,58,5,0,2,500,,""",",$.7,X!.7,OBJECT,7824.71299005028,7865.0590784103115,0.7257129047848139,0.16374999999970896,0.005209452201933405,7823.0,7826.632367085548,103.62211304643156,549.2238392944867,288.5410128393143,637.0258774347423,103.62211304643156,33.470347372991455,37.548775510203996,-6.0,3.0,3.3151351679144326e-06,7753.0,11242.0,7822.940000000048,17.691713927554172,1539.2518137955099,0.023919169576422077,0.5740600698341298,0.0351369218154137,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_150.0/image000058.fits
6,image000066.fits,EXPTIME_200.0,000066,230627.2025,13.31,230627.2025,2023-06-27T20:25:38,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_200.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.2.1,2023-05-28T01:02:58,200.0,8243,0.0,0,66,5,0,2,500,,""",",$.7,X!.7,OBJECT,7828.230269028019,7877.656312567132,0.006766553890884097,0.3774999999995998,0.007089155257333651,7826.0,7829.992493958434,108.54602626533489,629.6080384031052,338.69895599893783,626.960295018448,108.54602626533489,36.77832175423373,45.52392857142877,-6.0,3.0,5.04532872132935e-06,7723.0,11621.0,7829.780000000048,17.67076728261445,1617.8635188966007,0.030507555496733417,0.5491359989412016,0.042140924095196396,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_200.0/image000066.fits
7,image000067.fits,EXPTIME_200.0,000067,230627.2025,13.31,230627.2025,2023-06-27T20:25:38,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_200.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.2.1,2023-05-28T01:06:18,200.0,8243,0.0,0,67,5,0,2,500,,""",",$.7,X!.7,OBJECT,7818.103307092462,7864.166272287863,0.2653455775744078,-0.02250000000003638,0.005263157894736842,7816.0,7819.959252054133,104.33920967342196,561.9189577769782,334.27035475415596,513.3478068297825,104.33920967342196,34.64340425531918,47.32698979591805,-5.0,3.0,6.334066620758002e-06,7750.0,11319.0,7816.2200000000485,17.78352159189271,1456.3542869965363,0.030845328001239184,0.5552159040223053,0.04266762265385185,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_200.0/image000067.fits
8,image000068.fits,EXPTIME_200.0,000068,230627.2025,13.31,230627.2025,2023-06-27T20:25:38,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_200.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.2.1,2023-05-28T01:09:38,200.0,8243,0.0,0,68,5,0,2,500,,""",",$.7,X!.7,OBJECT,7830.319418763873,7875.800513426423,0.10753987433599832,-0.3625000000001819,0.0027389903329752955,7828.0,7831.87366481392,107.66037474627443,479.42856198521594,337.37247914688345,412.8647093090946,107.66037474627443,33.278528006947454,47.28857142857123,-6.0,3.0,8.701260853546859e-06,7714.0,11487.0,7829.860000000044,17.622524712296702,1561.3398720370606,0.02807668036519456,0.5053802465735021,0.039625955250425594,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_200.0/image000068.fits
9,image000036.fits,EXPTIME_50.0,000036,230627.2025,13.31,230627.2025,2023-06-27T20:25:38,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_50.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.2.1,2023-05-28T00:32:41,50.0,8243,0.0,0,36,5,0,2,500,,""",",$.7,X!.7,OBJECT,7824.9937547986065,7843.520600429645,-0.32745287578654825,-0.5712499999990541,0.000966702470461869,7824.0,7827.706522474626,104.81313654800178,297.2914178597952,206.57613633420263,399.7282554995099,104.81313654800178,11.13185193226218,19.632091836734617,-7.0,2.0,0.0,7748.0,10327.0,7823.74000000004,17.669931577965936,1359.1083218239676,0.01,0.72,0.017746817052609012,/Users/Vincent/DS9QuickLookPlugIn/subsets/230627_UA_darks/Directory_dark_05272023_g1000_minus90/EXPTIME_50.0/image000036.fits
