Index,Filename,SubDirectory,IMNO,ModificationTime,FileSize_Mo,CreationTime,CreationTime_ISO8601,Directory,dir_path,SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,BZERO,BSCALE,EXPOSURE,INSTRUME,SW_VER,R_EXP,R_WAIT,OBSDATE,OBSTIME,TIMETAG,CRDATE,CRTIME,TEMPER,TEMPERS,TEMPERR,TEMPERC,CCCP_CMT,median_physical,mean_physical,Col2ColDiff_pre_scan,Line2lineDiff_pre_scan,SaturatedPixels,median_pre_scan,mean_pre_scan,std_pre_scan,stdXY,stdXY_Top,stdXY_Bottom,stdXY_pre_scan,BottomImage,TopImage,BottomImage_median,TopImage_median,flat,percentile_04,percentile_998,hist_bias,hist_ron,hist_gain,hist_flux,FRAC5SIG,EXPOSURE==0,EXPOSURE>0,Path
0,image_00000000.fits,delay692,00000000,230810.0814,13.31,230807.1337,2023-08-07T13:37:54,good_delay,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692,True,16,2,3216,2069,True,32768,1,8918.39,CCCP,0.0,5000.0,0.0,2023-08-05,15:02:24.541,14861134,2023-08-05,15:02:24.761,0.0,,100.0,27.687,,851.1947069792888,856.6952277121375,-0.03407443209266603,0.002499999999940883,0.0,850.0,851.6724722087965,19.607827864389325,62.72937823427879,78.75861314896203,43.39552324285475,19.607827864389325,5.292739904472455,10.225510204081615,1.0,1.0,0.00025413122752355875,845.0,1406.0,850.0134999999996,40.42886063092657,2542.676662024276,0.017970365291714894,0.03621476492181826,False,True,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692/image_00000000.fits
1,image_00000001.fits,delay692,00000001,230810.0814,13.31,230807.1337,2023-08-07T13:37:58,good_delay,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692,True,16,2,3216,2069,True,32768,1,8918.39,CCCP,0.0,5000.0,0.0,2023-08-05,15:02:38.487,28807869,2023-08-05,15:02:38.735,0.0,,100.0,27.75,,850.944169646953,856.2854973147154,-0.01546640889318951,0.026250000000004547,0.0,850.0,851.4464004349927,19.03071981649153,94.7157073991711,57.46318807430595,40.190659737653746,19.03071981649153,4.488336951802012,7.95989795918365,1.0,0.0,0.0,845.0,1384.0,850.0134999999996,39.751158833616074,2379.7324700234267,0.016224920083222048,0.03427880073498354,False,True,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692/image_00000001.fits
2,image_00000002.fits,delay692,00000002,230810.0814,13.31,230807.1338,2023-08-07T13:38:02,good_delay,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692,True,16,2,3216,2069,True,32768,1,8918.39,CCCP,0.0,5000.0,0.0,2023-08-05,15:02:52.434,42754592,2023-08-05,15:02:52.646,0.0,,100.0,27.812,,850.8585575355339,856.1825085929108,0.02585790236844332,0.02250000000003638,0.0,850.0,851.3696967133881,19.725694192777915,80.73311292471449,61.206036357424075,40.88914463795842,19.725694192777915,4.528421623968711,8.00647959183675,1.0,0.0,0.0,844.0,1394.002000000095,850.0204999999994,40.38479755579481,2388.6001987035797,0.015927398293895507,0.03446116373549794,False,True,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692/image_00000002.fits
3,image_00000003.fits,delay692,00000003,230810.0814,13.31,230807.1338,2023-08-07T13:38:07,good_delay,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692,True,16,2,3216,2069,True,32768,1,8918.39,CCCP,0.0,5000.0,0.0,2023-08-05,15:03:06.381,56701273,2023-08-05,15:03:06.586,0.0,,100.0,27.812,,850.7628529984302,855.9344532760473,0.05389076848723562,-0.12749999999994088,0.0,850.0,851.299200096665,19.9963781359984,50.473120517947414,63.96340226244943,41.558252277440715,19.9963781359984,4.526608771168071,8.794693877551026,0.0,0.0,0.0,844.0,1391.0,850.0204999999994,39.69542671938758,2463.4232542157074,0.01667395185592959,0.03415314016484966,False,True,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692/image_00000003.fits
4,image_00000004.fits,delay692,00000004,230810.0814,13.31,230807.1338,2023-08-07T13:38:12,good_delay,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692,True,16,2,3216,2069,True,32768,1,8918.39,CCCP,0.0,5000.0,0.0,2023-08-05,15:03:20.328,70648050,2023-08-05,15:03:20.556,0.0,,100.0,27.937,,850.7110350237404,856.3406933404941,-0.04325761237316783,-0.03624999999999545,0.0,850.0,851.279683421943,20.65202213737928,100.46238100566839,57.9003822685528,41.73147612195751,20.65202213737928,4.4121016066001175,7.888112244897911,0.0,0.0,0.0,844.0,1402.0,850.0204999999994,40.220709931530386,2384.133947556061,0.01707071660921267,0.03614661711741121,False,True,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692/image_00000004.fits
5,image_00000005.fits,delay692,00000005,230810.0814,13.31,230807.1338,2023-08-07T13:38:17,good_delay,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692,True,16,2,3216,2069,True,32768,1,8918.39,CCCP,0.0,5000.0,0.0,2023-08-05,15:03:34.274,84594812,2023-08-05,15:03:34.502,0.0,,100.0,27.937,,850.5662849153669,855.9589462943072,0.03141614306423435,-0.02874999999994543,0.0,850.0,851.0721616723055,19.287368976126004,74.1636472357344,55.41718840107834,116.35033383703245,19.287368976126004,5.042251411202756,7.036071428571404,0.0,0.0,0.0,844.0,1400.0,850.0204999999994,39.58592085955917,2409.6930769417713,0.01648940704770826,0.034054766374815616,False,True,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692/image_00000005.fits
6,image_00000006.fits,delay692,00000006,230810.0814,13.31,230807.1338,2023-08-07T13:38:21,good_delay,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692,True,16,2,3216,2069,True,32768,1,20000.0,CCCP,0.0,20000.0,0.0,2023-08-05,15:04:17.232,29920796,2023-08-05,15:04:17.428,0.0,,100.0,27.812,,850.6435880258828,859.8745467239528,0.01353310778154082,0.06250000000011369,0.0,850.0,851.1133675688739,20.506637884723293,130.16984523053026,70.09863531398949,137.99657332947095,20.506637884723293,8.366995223621416,9.774234693877588,0.0,0.0,0.0,844.0,1540.0,850.0204999999994,39.952739196786226,2926.807496860605,0.02865883361399171,0.05199887541189373,False,True,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692/image_00000006.fits
7,image_00000007.fits,delay692,00000007,230810.0814,13.31,230807.1338,2023-08-07T13:38:26,good_delay,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692,True,16,2,3216,2069,True,32768,1,20000.0,CCCP,0.0,20000.0,0.0,2023-08-05,15:04:46.179,58867590,2023-08-05,15:04:46.375,0.0,,100.0,27.687,,850.5797164621788,862.3311197636949,-0.004108264862225042,0.08249999999998181,0.0,850.0,851.3573042532624,22.61295988996676,217.195057584373,71.58620742767108,401.18102534046864,22.61295988996676,17.267959183673497,11.788571428571458,0.0,0.0,0.0,844.0,1620.0,849.0134999999996,40.85549327213426,2969.2572095680284,0.028662365159487207,0.061452774502161925,False,True,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692/image_00000007.fits
8,image_00000008.fits,delay692,00000008,230810.0814,13.31,230807.1338,2023-08-07T13:38:30,good_delay,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692,True,16,2,3216,2069,True,32768,1,20000.0,CCCP,0.0,20000.0,0.0,2023-08-05,15:05:15.126,87814380,2023-08-05,15:05:15.329,0.0,,100.0,27.375,,850.3432164974397,859.7476455424274,0.04954084098608291,-0.021250000000009095,0.0,849.0,850.8166988883519,21.074427511818623,132.4050309772113,70.7060372872876,133.6891062607204,21.074427511818623,9.177535822839786,11.408163265306143,1.0,1.0,5.704151156072787e-05,844.0,1552.0,849.0134999999996,40.116371906270004,2945.8205648509374,0.030304500108819462,0.055782960114484,False,True,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692/image_00000008.fits
9,image_00000009.fits,delay692,00000009,230810.0814,13.31,230807.1338,2023-08-07T13:38:35,good_delay,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692,True,16,2,3216,2069,True,32768,1,50000.0,CCCP,0.0,50000.0,0.0,2023-08-05,15:06:22.553,59832866,2023-08-05,15:06:22.750,0.0,,100.0,27.0,,850.7096308388786,866.6266530612245,-0.008941517641346763,0.09125000000005912,0.0,849.0,851.0095674238763,22.963906689542917,102.89347172676202,99.97939239974943,122.10010645414857,22.963906689542917,15.81670864090313,21.76122448979595,2.0,1.0,9.445487073632794e-05,844.0,1730.0,849.0134999999996,41.40555818349252,3475.990926010462,0.052589316476344086,0.08924619285620063,False,True,/Users/Vincent/Library/CloudStorage/GoogleDrive-vp2376@columbia.edu/.shortcut-targets-by-id/1ZgB7kY-wf7meXrq8v-1vIzor75aRdLDn/FIREBall-2/FB2_2023/DOBC_data/230805/HVdelay/S2/good_delay/delay692/image_00000009.fits
