Index,Filename,Directory,IMNO_1,ModificationTime,FileSize_Mo,CreationTime,CreationTime_ISO8601,dir_path,SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,BZERO,BSCALE,ADD_COMM,IMG_SIZE,SOFT_VER,DATE,EXPTIME,EMGAIN,GAIN1,VSS,IMNO,IMBURST,SHUTTER,ROS,OFFSET,TEMPDATE,TEMPTIME,TEMPA,TEMPB,TEMPC,TEMPD,OBSTYPE,median_physical,mean_physical,Col2ColDiff_pre_scan,Line2lineDiff_pre_scan,SaturatedPixels,median_pre_scan,mean_pre_scan,std_pre_scan,stdXY,stdXY_Top,stdXY_Bottom,stdXY_pre_scan,BottomImage,TopImage,BottomImage_median,TopImage_median,flat,percentile_04,percentile_998,hist_bias,hist_ron,hist_gain,hist_flux,e_per_hour,FRAC5SIG,BIAS_ADU,RN_E-,GAINEM,SCIC,FLUX,SMEARING,MCIC,Path
0,image000006.fits,EXPTIME_0.0,000006,230709.0952,13.31,230709.0952,2023-07-09T09:52:59,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T18:40:22,0.0,10500,0.0,0,6,20,0,1,800,06/30/23,18:40:11,32.578971,-157.100570,-162.659820,-96.125701,OBJECT,956.7353820924303,956.7984645542427,0.013291445142613156,-0.028750000000059117,0.0,956.0,956.0118330111164,5.137396549335649,8.33630481605146,9.753662442742193,6.484450962789632,5.137396549335649,3.5247069040382257,-2.6042346938775154,3.0,-4.0,0.0,948,1038,955.9814999999994,57.42932430762169,572.0033033374153,0.01,inf,0.006548880094868821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0/image000006.fits
1,image000007.fits,EXPTIME_0.0,000007,230709.0952,13.31,230709.0952,2023-07-09T09:52:59,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T18:40:31,0.0,10500,0.0,0,7,20,0,1,800,06/30/23,18:40:11,32.578971,-157.100570,-162.659820,-96.125701,OBJECT,948.7038121037187,948.7652620837808,0.003624939584369713,-0.07625000000007276,0.0,948.0,948.027933784437,5.048302959210085,8.297537529000286,9.289628004421774,6.729397814686674,5.048302959210085,3.254407294832845,-2.2555612244898384,3.0,-3.0,0.0,940,1030,947.0204999999994,53.62948746941811,549.760552185454,0.01,inf,0.006978014656895405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0/image000007.fits
2,image000008.fits,EXPTIME_0.0,000008,230709.0952,13.31,230709.0952,2023-07-09T09:52:59,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T18:40:40,0.0,10500,0.0,0,8,20,0,1,800,06/30/23,18:40:11,32.578971,-157.100570,-162.659820,-96.125701,OBJECT,942.0504506482305,942.1473147153598,-0.014258095698551188,-0.01375000000007276,0.0,941.0,941.4244804253262,4.583206103353623,28.173623192796025,8.986205312729744,6.527744753163061,4.583206103353623,2.9278093790708226,-1.196530612244942,3.0,-2.0,0.00125983768855922,935,1023,941.0204999999994,46.51222192772094,523.7293703950747,0.01,inf,0.007284506133935249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0/image000008.fits
3,image000009.fits,EXPTIME_0.0,000009,230709.0952,13.31,230709.0952,2023-07-09T09:52:59,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T18:40:49,0.0,10500,0.0,0,9,20,0,1,800,06/30/23,18:40:11,32.578971,-157.100570,-162.659820,-96.125701,OBJECT,936.9225223961873,937.1732395273899,-0.00604156597387373,0.014999999999986358,0.0,936.0,936.3237022716288,4.7060124557565475,66.84254326078496,10.438577216856027,6.414096563014182,4.7060124557565475,2.427881024750377,-0.8357653061224255,2.0,-2.0,0.0,930,1018,936.0204999999994,44.73604139599436,541.3188346071214,0.01,inf,0.00801856875609587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0/image000009.fits
4,image000010.fits,EXPTIME_0.0,000010,230709.0952,13.31,230709.0952,2023-07-09T09:52:59,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T18:40:58,0.0,10500,0.0,0,10,20,0,1,800,06/30/23,18:40:11,32.578971,-157.100570,-162.659820,-96.125701,OBJECT,931.9158405963931,931.9879355531687,-0.014016433059509836,0.0062499999999090505,0.0,931.0,931.2805485741904,4.773386081404895,28.670200634027953,9.713027566950862,6.332500521253365,4.773386081404895,2.5862288319583513,-1.2092346938775336,2.0,-2.0,0.0,924,1012,931.0204999999994,45.7852579952966,529.1658751324462,0.01,inf,0.007516322451698865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0/image000010.fits
5,image000011.fits,EXPTIME_0.0,000011,230709.0952,13.31,230709.0952,2023-07-09T09:52:59,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T18:41:07,0.0,10500,0.0,0,11,20,0,1,800,06/30/23,18:40:11,32.578971,-157.100570,-162.659820,-96.125701,OBJECT,926.20034884554,926.2136009667024,-0.01353310778154082,-0.06499999999994088,0.0,925.0,925.5149891251813,4.696985199169327,7.9911290288349,10.355976489944702,6.7763728500383245,4.696985199169327,3.182733391228794,-1.375969387755049,3.0,-2.0,0.015659709953750236,918,1004,925.0204999999994,48.84239995242055,522.0896515725736,0.01,inf,0.006971398876741349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0/image000011.fits
6,image000012.fits,EXPTIME_0.0,000012,230709.0952,13.31,230709.0952,2023-07-09T09:52:59,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T18:41:16,0.0,10500,0.0,0,12,20,0,1,800,06/30/23,18:41:10,32.549041,-157.101409,-162.673400,-96.143798,OBJECT,919.5499508861553,919.5672556390978,0.003624939584369713,-0.06999999999993634,0.0,919.0,918.8275833736104,4.801137130533813,8.106964741719178,10.20885447038812,6.603506475387482,4.801137130533813,2.82539513677807,-2.4337244897959636,2.0,-3.0,0.0,911,998,918.0204999999994,52.14182226876364,565.0198851971762,0.01,inf,0.00698066094427463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0/image000012.fits
7,image000013.fits,EXPTIME_0.0,000013,230709.0952,13.31,230709.0952,2023-07-09T09:52:59,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T18:41:25,0.0,10500,0.0,0,13,20,0,1,800,06/30/23,18:41:10,32.549041,-157.101409,-162.673400,-96.143798,OBJECT,912.099321072359,912.1121079484425,0.007008216529698075,0.021250000000009095,0.0,911.0,911.3613508941518,4.896306171474489,8.15768525336482,9.287843318245042,6.522971244680564,4.896306171474489,3.6629070777247534,-2.2822959183673674,3.0,-3.0,0.015026786292513566,903,990,910.9744999999994,56.297804618799795,540.0162673108713,0.01,inf,0.00653150632364933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0/image000013.fits
8,image000014.fits,EXPTIME_0.0,000014,230709.0952,13.31,230709.0952,2023-07-09T09:52:59,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T18:41:34,0.0,10500,0.0,0,14,20,0,1,800,06/30/23,18:41:10,32.549041,-157.101409,-162.673400,-96.143798,OBJECT,904.0254548136347,904.0416122448979,-0.010149830836212459,0.08499999999992269,0.0,903.0,903.2725737071049,4.802673690214485,8.136133743239748,10.557218282725664,6.49549005125332,4.802673690214485,3.723302214502837,-2.352091836734644,3.0,-3.0,0.015106499548059966,895,982,902.9744999999994,58.04760118765507,547.7344492827757,0.01,inf,0.006317121918720857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0/image000014.fits
9,image000015.fits,EXPTIME_0.0,000015,230709.0952,13.31,230709.0952,2023-07-09T09:52:59,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T18:41:42,0.0,10500,0.0,0,15,20,0,1,800,06/30/23,18:41:10,32.549041,-157.101409,-162.673400,-96.143798,OBJECT,895.8805302052604,895.933761546724,-0.0016916384727210243,0.0025000000000545697,0.0,895.0,895.1570541324311,4.983866481588486,25.879616126106953,8.893139782645346,6.70355141063203,4.983866481588486,3.5292748588797167,-2.515102040816373,3.0,-3.0,0.0,887,975,894.9744999999994,57.00533265138313,573.7767457763182,0.01,inf,0.006067930441317355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2/EMGAIN_10500.0/EXPTIME_0.0/image000015.fits
