Index,Filename,Directory,IMNO_1,ModificationTime,FileSize_Mo,CreationTime,CreationTime_ISO8601,dir_path,SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,BZERO,BSCALE,ADD_COMM,IMG_SIZE,SOFT_VER,DATE,EXPTIME,EMGAIN,GAIN1,VSS,IMNO,IMBURST,SHUTTER,ROS,OFFSET,TEMPDATE,TEMPTIME,TEMPA,TEMPB,TEMPC,TEMPD,OBSTYPE,median_physical,mean_physical,Col2ColDiff_pre_scan,Line2lineDiff_pre_scan,SaturatedPixels,median_pre_scan,mean_pre_scan,std_pre_scan,stdXY,stdXY_Top,stdXY_Bottom,stdXY_pre_scan,BottomImage,TopImage,BottomImage_median,TopImage_median,flat,percentile_04,percentile_998,hist_bias,hist_ron,hist_gain,hist_flux,e_per_hour,FRAC5SIG,BIAS_ADU,RN_E-,GAINEM,SCIC,SMEARING,MCIC,FLUX,Path
0,image000000.fits,EXPTIME_5.0,000000,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10500_no_need/EXPTIME_5.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T18:18:34,5.0,10500,0.0,0,0,1,0,2,800,06/30/23,18:18:10,32.696376,-157.771316,-163.380065,-96.324935,OBJECT,8138.971772409665,8152.284020945221,0.25084581923601945,0.9949999999998909,0.00016111707841031148,8132.0,8135.948704688255,86.27287075964256,188.47652887658413,183.99318888700654,149.1760103950633,86.27287075964256,59.96444854537549,-25.69408163265325,50.0,-42.0,0.00016890274221424735,8006,9937,8127.265000000032,48.019551225396846,675.0164993740291,0.01,7.2,0.00920107822741967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10500_no_need/EXPTIME_5.0/image000000.fits
1,image000009.fits,EXPTIME_0.0,000009,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:33:07,0.0,10700,0.0,0,9,20,0,2,800,06/30/23,20:32:11,32.895057,-157.336120,-162.952941,-96.082595,OBJECT,8239.994724303577,8256.886820622985,0.5483325277891709,0.8800000000010186,0.0002685284640171858,8231.0,8237.486268728855,126.40848564882151,249.60953557837715,239.2979367943162,188.2435292854409,126.40848564882151,75.39206469822057,-38.37025510204148,63.0,-60.0,0.00012840077425165693,8090,10594,8224.935000000034,58.607839888200154,964.1088492472427,0.01,inf,0.008271420099462365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000009.fits
2,image000010.fits,EXPTIME_0.0,000010,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:33:16,0.0,10700,0.0,0,10,20,0,2,800,06/30/23,20:33:10,32.905895,-157.360687,-162.955841,-96.046203,OBJECT,8101.825429616097,8118.052689581095,-0.16529724504653132,-2.152499999999236,0.0002685284640171858,8094.0,8100.634641130981,123.82684076876119,244.1254661495476,277.9065298296152,185.21136432030525,123.82684076876119,61.57696699956614,-19.090714285714057,50.0,-44.0,0.0001174550972741938,7966,10378,8089.205000000033,49.370059005906356,892.7647422233053,0.01,inf,0.008540754830650105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000010.fits
3,image000011.fits,EXPTIME_0.0,000011,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:33:25,0.0,10700,0.0,0,11,20,0,2,800,06/30/23,20:33:10,32.905895,-157.360687,-162.955841,-96.046203,OBJECT,7997.412264913917,8012.916462943072,0.28467858869043994,-1.6337499999999636,0.0,7991.0,7996.547032382794,117.07513997156461,217.3358146456367,225.82134095281427,178.4208575713409,117.07513997156461,49.01679765523204,-15.605612244898111,38.0,-36.0,0.0001270248385720955,7872,10219,7991.325000000032,44.45697040521516,816.0293427346754,0.01,inf,0.009130463151337368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000011.fits
4,image000012.fits,EXPTIME_0.0,000012,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:33:34,0.0,10700,0.0,0,12,20,0,2,800,06/30/23,20:33:10,32.905895,-157.360687,-162.955841,-96.046203,OBJECT,7904.398845897227,7919.744729323308,-0.0016916384720389033,0.339999999999236,0.0,7898.0,7903.782815369744,124.45145110238319,221.49121583457043,295.6281884122042,179.26987516102687,124.45145110238319,50.04995874945689,-12.056530612245297,39.0,-39.0,0.00012230331711023102,7774,10154,7896.265000000032,45.955628500981554,836.7330092380131,0.01,inf,0.00873974157154783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000012.fits
5,image000013.fits,EXPTIME_0.0,000013,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:33:43,0.0,10700,0.0,0,13,20,0,2,800,06/30/23,20:33:10,32.905895,-157.360687,-162.955841,-96.046203,OBJECT,7796.704927944161,7812.786382921589,0.03890768487326568,-0.632499999999709,0.0008592910848549946,7790.0,7794.874703963267,123.33338817215137,286.7779177244682,310.6188744263176,179.9329429019125,123.33338817215137,56.655536257056156,-23.055357142857247,45.0,-48.0,7.295580205109276e-05,7660,10074,7791.025000000034,49.39417653217347,859.0758994951373,0.01,inf,0.008406539593686872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000013.fits
6,image000014.fits,EXPTIME_0.0,000014,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:33:52,0.0,10700,0.0,0,14,20,0,2,800,06/30/23,20:33:10,32.905895,-157.360687,-162.955841,-96.046203,OBJECT,7669.413456057193,7684.648791621912,0.23537941034282994,-0.8112499999988358,0.0008592910848549946,7662.0,7666.564801836636,118.62672450340133,283.51871215009555,244.73122855623367,179.64310857867366,118.62672450340133,64.67084889274884,-37.85377551020429,53.0,-58.0,8.708324122672132e-05,7522,9885,7653.055000000033,55.330099690075635,856.7124084519548,0.01,inf,0.007781682974503961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000014.fits
7,image000015.fits,EXPTIME_0.0,000015,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:34:01,0.0,10700,0.0,0,15,20,0,2,800,06/30/23,20:33:10,32.905895,-157.360687,-162.955841,-96.046203,OBJECT,7521.231134243382,7535.250582706767,-0.1445142580960237,-1.0462500000003274,0.0,7513.0,7517.8128830352825,124.39389369885274,212.40724505109876,253.5991715082452,176.87308267773003,124.39389369885274,71.9138732088577,-41.76535714285728,61.0,-64.0,0.00017731739188580383,7367,9645,7507.815000000035,60.40642920403036,849.5068594892891,0.01,inf,0.0070512466279850335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000015.fits
8,image000016.fits,EXPTIME_0.0,000016,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:34:10,0.0,10700,0.0,0,16,20,0,2,800,06/30/23,20:33:10,32.905895,-157.360687,-162.955841,-96.046203,OBJECT,7360.307354961542,7374.71904189044,0.5807153214109348,0.7312499999998181,0.0,7352.0,7357.118231029483,125.52534882964495,215.81080179910924,255.26574308272632,182.09789412733798,125.52534882964495,75.11033434650471,-45.40051020408191,64.0,-67.0,0.00017176854245188865,7202,9522,7344.755000000036,63.793832979687316,894.8529535311287,0.01,inf,0.006978825610023174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000016.fits
9,image000017.fits,EXPTIME_0.0,000017,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:34:18,0.0,10700,0.0,0,17,20,0,2,800,06/30/23,20:34:11,32.904605,-157.353271,-162.957519,-96.076721,OBJECT,7197.526767967733,7212.275063909775,-0.16384726921205583,1.0374999999994543,0.00021482277121374866,7189.0,7194.408089656839,123.08043415064064,235.0449395883623,243.64330170892873,179.37913863836252,123.08043415064064,73.64147199305262,-41.63132653061257,63.0,-63.0,0.0001448065398061883,7044,9382,7175.085000000034,61.11532503481978,831.6793268749082,0.01,inf,0.007339862842024081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000017.fits
