Datation GPS;Pump-Cold W;Dewar-Cover;Tmp Air Ext ;Temp Air Int ;Miroir Siderost;Med Bench; Detect Mount; Upp Tk ;Low Tk; Frame EL; Frame CE; Rot Angle; Longi; Latitude; Altitude; DV Az; DV EL; DV Psi; DV Asc D; DV Dec; DV Theta;
24/06/23 04:02:39;17.3;17.8;17.4;17.2;19.7;1242;1242.2;1242.6;1242.7;-1.14441E-05;0;-122.994;-118.124;34.136;272;104.897;79.0814;-121.697;226.893;30.7102;-53.2057;
24/06/23 04:03:39;17.3;17.8;17.4;17.2;19.7;1242;1242.2;1242.6;1242.7;-1.14441E-05;0;-122.994;-118.124;34.136;272;104.883;79.0814;-121.713;227.147;30.7126;-53.2088;
24/06/23 04:04:39;17.3;17.8;17.4;17.2;19.6;1242;1242.2;1242.6;1242.7;-3.62396E-05;0;-122.994;-118.124;34.136;272;104.897;79.0815;-121.701;227.394;30.7102;-53.2101;
24/06/23 04:05:40;17.3;17.8;17.3;17.1;19.6;1242;1242.2;1242.6;1242.7;-1.14441E-05;0;-122.994;-118.124;34.136;272;104.914;79.0769;-121.685;227.65;30.7054;-53.2131;
24/06/23 04:06:40;17.3;17.8;17.4;17.2;19.6;1242;1242.2;1242.6;1242.7;-1.14441E-05;0;-187.117;-118.124;34.136;272;104.91;79.0733;175.605;227.903;30.705;-115.92;
24/06/23 04:07:40;17.4;17.8;17.4;17.3;19.4;1242;1242.2;1242.6;1242.7;-1.14441E-05;0;-72.397;-118.124;34.136;272;104.91;79.0715;-71.5724;228.158;30.7043;-3.09881;
24/06/23 04:08:40;17.4;17.9;17.4;17.4;19.4;1242;1242.2;1242.6;1242.7;-1.14441E-05;0;-3.2959E-06;-118.124;34.136;272;104.894;79.0795;1.27724;228.399;30.7101;69.7704;
24/06/23 04:09:40;17.5;17.9;17.4;17.3;19.5;1242;1242.2;1242.6;1242.7;11.7324;0;-3.2959E-06;-118.124;34.136;272;104.005;55.8429;0.436354;251.948;20.6034;59.5272;
24/06/23 04:10:40;17.4;17.8;17.3;17.2;19.5;1242;1242.2;1242.6;1242.7;17.25;0;-3.2959E-06;-118.124;34.136;272;103.89;44.5843;0.344505;262.214;14.6191;56.4831;
24/06/23 04:11:40;17.4;17.8;17.3;17.2;19.5;1242;1242.2;1242.6;1242.7;17.25;0;-3.2959E-06;-118.124;34.136;272;103.895;44.5846;0.344829;262.46;14.6161;56.4803;
24/06/23 04:12:40;17.3;17.8;17.2;17.1;19.4;1242;1242.2;1242.6;1242.7;17.25;0;-3.2959E-06;-118.124;34.136;272;103.901;44.5844;0.344382;262.711;14.6129;56.4766;
24/06/23 04:13:40;17.2;17.7;17.2;17;19.4;1242;1242.2;1242.6;1242.7;17.25;0;-3.2959E-06;-118.124;34.136;272;103.908;44.5803;0.344928;262.96;14.6065;56.4721;
24/06/23 04:14:40;17.1;17.7;17.2;17;19.4;1242;1242.2;1242.6;1242.7;16.55;0;-3.2959E-06;-118.124;34.136;272;103.927;45.9809;0.353364;261.999;15.3731;56.7811;
24/06/23 04:15:40;17.1;17.6;17.2;17;19.4;1242;1242.2;1242.6;1242.7;16.55;0;-3.2959E-06;-118.124;34.136;272;103.932;45.9839;0.352836;262.247;15.3714;56.7777;
24/06/23 04:16:40;17.1;17.6;17.2;17;19.3;1242;1242.2;1242.6;1242.7;16.222;0;-57.525;-118.124;34.136;272;103.945;46.638;-57.1687;261.925;15.7252;-0.59981;
24/06/23 04:17:40;17.1;17.6;17.2;16.9;19.3;1242;1242.2;1242.6;1242.7;16.3207;0;-57.45;-118.124;34.136;272;103.95;46.4424;-57.0938;262.345;15.6144;-0.573977;
24/06/23 04:18:40;17.1;17.5;17.1;16.9;19.3;1242;1242.2;1242.6;1242.7;16.0197;0;-57.385;-118.124;34.136;272;103.962;47.0427;-57.0249;262.068;15.9381;-0.370986;
24/06/23 04:19:40;17;17.5;17.1;16.9;19.2;1242;1242.2;1242.6;1242.7;15.9185;0;-57.314;-118.124;34.136;272;103.971;47.2461;-56.9517;262.141;16.045;-0.254344;
24/06/23 04:20:40;17;17.5;17.1;16.9;19.2;1242;1242.2;1242.6;1242.7;15.8174;0;-57.237;-118.124;34.136;272;103.979;47.4494;-56.874;262.213;16.1516;-0.133103;
